video,school,stimulus,size,part,responder,bearing_angle_ms,latency_ms,distance_from_first_responder,distance_from_stimulus,angle_between_fish_and_stimulus,ratio_time_bearing_angle,angle_between_fish_and_stimulus_abs,angle_between_fish_stimulus_radiants,starting_angle,final_angle_DEG,turning_radius_degrees,turning_angle_radiants,turning_angle_absolute_value
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,s5,20.83333333,29.2,7.896036981,33.38682525,82.87498365,0.277846298,82.87498365,1.446441332,-39.39072555,35.59077859,74.98150415,1.308674125,74.98150415
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,s6,29.16666667,41.7,22.06437853,29.00618038,176.8939729,0.275751995,176.8939729,3.087382254,-62.63645307,-168.4078246,-105.7713715,-1.846058687,105.7713715
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,s7,29.16666667,83.3,10.61730663,37.27190497,69.99330526,0.102473302,69.99330526,1.221613631,-178.4377751,106.1892063,284.6269813,4.967677964,284.6269813
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w1,12.5,70.8,18.39480905,36.66830375,76.45206101,0.439880053,76.45206101,1.334340185,174.5767814,146.1599439,-28.41683754,-0.495967378,28.41683754
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w2,112.5,104.2,19.55828725,39.88201725,88.58207717,0.515990522,88.58207717,1.546048905,-129.7421908,88.2850698,218.0272606,3.805293557,218.0272606
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w3,41.66666667,112.5,9.989214183,44.15793587,106.5489409,0.468092968,106.5489409,1.859629832,-20.81506597,68.19859051,89.01365648,1.553581385,89.01365648
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w4,12.5,91.7,18.61390072,37.49902665,79.28072474,0.04530592,79.28072474,1.38370968,146.1599439,-129.7421908,-275.9021347,-4.815400664,275.9021347
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w5,133.3333333,195.8,33.10266606,49.01063762,133.5311993,0.47702094,133.5311993,2.330559082,-122.5740571,156.9384805,279.5125376,4.878414082,279.5125376
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w6,100,191.7,35.71969345,50.55130661,151.3428825,0.359921103,151.3428825,2.6414316,-109.8954313,167.9432375,277.8386688,4.84919956,277.8386688
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w7,179.1666667,241.7,30.38751224,50.41233579,124.6513159,0.661520535,124.6513159,2.17557588,-121.452061,149.3886116,270.8406726,4.727061485,270.8406726
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w8,133.3333333,308.3,26.4417246,40.94587769,124.2541428,0.456931766,124.2541428,2.168643901,-140.9061411,150.8952684,291.8014095,5.092895357,291.8014095
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w9,287.5,237.5,31.49504882,57.79411908,-1.236407603,3.626031447,1.236407603,0.021579384,-98.0591039,-18.7713194,79.28778451,1.383832896,79.28778451
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w10,179.1666667,483.3,36.3883333,56.04535752,21.22108534,1.804440016,21.22108534,0.37037781,-101.5466905,-2.254574966,99.29211558,1.732974338,99.29211558
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w11,237.5,550,25.20968068,48.71388406,122.4191289,0.991772282,122.4191289,2.136616867,-105.086354,134.3839401,239.4702941,4.179545093,239.4702941
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w12,129.1666667,987.5,42.27716641,60.96452165,69.66381471,1.904983155,69.66381471,1.215862936,168.0558228,100.2511988,-67.80462406,-1.183413938,67.80462406
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w13,250,379.2,27.24507478,42.36966132,123.373019,1.107066655,123.373019,2.15326539,-90.36727561,135.4547189,225.8219945,3.941337327,225.8219945
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,s1,33.33333333,0,0,23.40882739,-116.8057883,0.522679264,116.8057883,2.038645592,-26.56505118,-90.33902432,-63.77397315,-1.113065809,63.77397315
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,s2,41.66666667,25,18.8012473,19.36802778,145.8987258,0.406874388,145.8987258,2.54641314,24.32189323,126.7286013,102.4067081,1.787334232,102.4067081
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,s3,50,233.3,11.60231442,16.53216562,101.0611825,0.407550651,101.0611825,1.76385038,-35.41044829,87.27368901,122.6841373,2.141242136,122.6841373
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,s4,300,233.3,9.565615506,31.97382992,76.40605483,1.678902957,76.40605483,1.333537225,-84.28940686,94.39870535,178.6881122,3.118695892,178.6881122
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,s5,79.16666667,291.7,11.8169243,22.03921278,127.4761796,0.361340403,127.4761796,2.224879051,-97.36805107,121.723603,219.091654,3.823870726,219.091654
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,s6,100,308.3,8.991045545,24.23799703,71.18633105,0.794796259,71.18633105,1.242435859,-73.77263896,52.04576912,125.8184081,2.195945481,125.8184081
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,s7,129.1666667,433.3,9.862012979,33.05401186,73.04706358,0.852052354,73.04706358,1.274911768,-90,61.59475357,151.5947536,2.645827578,151.5947536
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,s8,112.5,504.2,12.37103472,35.76065575,38.81474508,0.929287227,38.81474508,0.6774451,-82.70580369,38.35472179,121.0605255,2.112904764,121.0605255
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,s9,358.3333333,295.8,5.011706296,28.3270189,77.88737707,2.891435581,77.88737707,1.359391176,-47.79889851,76.13031356,123.9292121,2.16297279,123.9292121
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,s10,133.3333333,200,8.677724356,28.29944346,120.4933584,3.819844742,120.4933584,2.103005831,60.36846332,95.27389596,34.90543264,0.609214726,34.90543264
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,w1,66.66666667,133.3,17.27379518,25.14407286,133.4364836,0.345359634,133.4364836,2.32890598,-73.89485792,119.1406337,193.0354916,3.369104902,193.0354916
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,w2,350,287.5,11.22643309,31.89636343,75.01836743,2.966286792,75.01836743,1.309317511,-65.86762041,52.12501635,117.9926368,2.059360004,117.9926368
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,w3,116.6666667,375,20.75657968,27.06262367,70.29864074,1.163194206,70.29864074,1.226942741,-54.0394828,46.25904521,100.298528,1.750539549,100.298528
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,w4,45.83333333,420.8,17.62226149,27.57949419,76.59651552,0.389276873,76.59651552,1.336861391,-54.96835617,62.77132082,117.739677,2.054945024,117.739677
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,w5,162.5,458.3,19.05089237,38.02920062,78.89811229,1.381109916,78.89811229,1.377031833,-56.80706342,60.85192815,117.6589916,2.053536798,117.6589916
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,w6,141.6666667,470.8,22.71201664,43.74570722,103.786318,1.400096224,103.786318,1.811412967,-17.42543604,83.75808565,101.1835217,1.765985602,101.1835217
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,w7,141.6666667,508.3,20.36987972,43.41640704,71.8219812,1.383426644,71.8219812,1.253530047,-55.33270052,47.07003065,102.4027312,1.787264822,102.4027312
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,w8,195.8333333,375,12.81561547,30.77396952,130.9884224,0.820940996,130.9884224,2.286179253,-92.53355889,146.0138329,238.5473918,4.163437409,238.5473918
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,w9,225,658.3,25.21920895,47.43501766,73.30075577,1.995711371,73.30075577,1.279339532,-52.88313932,59.85861445,112.7417538,1.967714808,112.7417538
cy_s_gp_trial1_sch1_stim6,1,6,small,Y,w10,87.5,495.8,23.61397891,27.27258697,54.88798882,1.520850236,54.88798882,0.957976125,130.2921478,72.7585406,-57.53360715,-1.004150875,57.53360715
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,s1,54.16666667,0,0,42.89126951,87.90474744,0.492916195,87.90474744,1.534227271,-37.40535663,72.48485852,109.8902152,1.91794607,109.8902152
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,s2,45.83333333,8.3,13.30248473,33.53519495,50.20848577,0.181778776,50.20848577,0.876303389,-178.6267341,73.51124629,252.1379804,4.400637927,252.1379804
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,s3,41.66666667,25,50.2547361,15.14676533,146.762407,0.169405321,146.762407,2.561487221,-84.80557109,161.1528584,245.9584295,4.292784418,245.9584295
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,s4,41.66666667,37.5,47.76915846,23.07048547,130.6012946,0.376067686,130.6012946,2.279422599,-5.998895532,104.7967622,110.7956578,1.933749025,110.7956578
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,s5,108.3333333,41.7,22.09939818,24.31569041,75.49412951,0.792717249,75.49412951,1.317621126,-62.56027205,74.10047741,136.6607495,2.385180036,136.6607495
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,s6,83.33333333,37.5,33.25541309,20.66268376,117.9211542,0.38666534,117.9211542,2.058112399,-98.20470619,117.3132744,215.5179806,3.761498359,215.5179806
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,s7,54.16666667,45.8,39.60594526,19.76217852,91.95695322,0.617366028,91.95695322,1.604951604,-11.5237217,76.21461211,87.73833381,1.531322805,87.73833381
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,s8,33.33333333,66.7,57.74429236,27.07146283,-175.0445511,0.43268402,175.0445511,3.055103754,-75.67728002,-152.7157927,-77.03851268,-1.344575697,77.03851268
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,s9,70.83333333,154.2,29.74162907,27.17114094,88.20017033,0.58545613,88.20017033,1.539383373,-46.58624696,74.40203842,120.9882854,2.111643936,120.9882854
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,s10,70.83333333,62.5,39.28972512,7.921773791,56.83585088,0.530258837,56.83585088,0.991972731,-73.3274422,60.2551187,133.5825609,2.331455511,133.5825609
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,w1,54.16666667,100,21.89247588,41.66480649,82.85975351,0.474504731,82.85975351,1.446175516,-45.19162397,68.96248897,114.1541129,1.992365126,114.1541129
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,w2,87.5,112.5,11.34883694,41.75862186,122.6843935,0.361319388,122.6843935,2.141246608,-107.6811005,134.4869172,242.1680177,4.226629251,242.1680177
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,w3,112.5,154.2,44.06078642,28.59832338,78.87853981,0.631733358,78.87853981,1.376690229,-82.79138092,95.29008121,178.0814621,3.108107851,178.0814621
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,w4,79.16666667,175,36.37786415,28.81553053,100.1370394,0.75051239,100.1370394,1.747721041,-31.9276765,73.55581421,105.4834907,1.841034219,105.4834907
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,w5,145.8333333,183.3,21.99752031,35.78158884,96.78897457,1.21697453,96.78897457,1.689286286,-40.39370215,79.43898931,119.8326915,2.091475017,119.8326915
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,w6,87.5,195.8,33.37436891,39.8102311,72.96034231,0.746073313,72.96034231,1.273398197,-56.56743986,60.71325957,117.2806994,2.046934354,117.2806994
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,w7,125,266.7,37.18010893,46.41446003,96.05419189,1.405291689,96.05419189,1.676461909,-20.43282868,68.51667624,88.94950492,1.552461729,88.94950492
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,w8,100,400,14.43675864,41.50557794,151.6450382,1.732450662,151.6450382,2.646705211,50.59933934,108.3210409,57.72170153,1.007433741,57.72170153
cy_l_gp_trial1_sch1_stim3,1,3,large,Y,w9,120.8333333,475,42.48008475,28.44837078,80.35415574,0.988761423,80.35415574,1.402444585,-55.43334414,66.77341937,122.2067635,2.132910391,122.2067635
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,s1,33.33333333,0,0,22.1422063,88.88661795,0.456726858,88.88661795,1.551364144,9.201625314,82.18470645,72.98308114,1.273795064,72.98308114
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,s2,50,33.3,33.57008341,29.91118854,93.43363036,1.417651959,93.43363036,1.630724482,23.60411504,58.87370269,35.26958764,0.61557043,35.26958764
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,s3,41.66666667,58.3,25.62911235,18.71129338,-95.01876534,0.662245161,95.01876534,1.658390306,6.745579647,-56.17170408,-62.91728373,-1.098113757,62.91728373
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w1,91.66666667,133.3,26.43879914,34.2869217,135.8587589,1.217984154,135.8587589,2.371182661,19.28102752,94.54199568,75.26096816,1.313551693,75.26096816
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w2,75,154.2,36.01240481,40.73961463,111.6419005,0.939116324,111.6419005,1.948518747,1.391526653,81.25383774,79.86231108,1.393860277,79.86231108
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w3,91.66666667,154.2,28.99197303,41.76312488,107.9691397,1.329043779,107.9691397,1.884416979,0.241752909,69.21364695,68.97189404,1.203786642,68.97189404
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w4,58.33333333,170.8,41.44439769,46.83673772,118.0724869,1.023146211,118.0724869,2.060753653,22.70492394,79.71860657,57.01368263,0.995076481,57.01368263
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w5,91.66666667,241.7,43.90961854,51.03000392,126.9183712,1.387344687,126.9183712,2.215143459,19.96432718,86.03778932,66.07346215,1.153199463,66.07346215
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w6,158.3333333,170.8,20.14866745,41.54238438,72.38237685,1.141679786,72.38237685,1.263310796,-74.19031152,64.4942262,138.6845377,2.420501805,138.6845377
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w7,129.1666667,175,56.58846261,62.04106543,152.7764056,2.866042789,152.7764056,2.666451298,58.01711219,103.0850599,45.06794775,0.786584075,45.06794775
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w9,112.5,233.3,33.52154084,50.1739554,125.7810739,2.306228486,125.7810739,2.195293876,34.74678684,83.5277297,48.78094285,0.851388065,48.78094285
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w8,116.6666667,170.8,56.55745751,61.91779147,149.875682,2.913132684,149.875682,2.61582412,51.34019175,91.38871659,40.04852484,0.698978619,40.04852484
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w10,195.8333333,212.5,40.43939911,56.57215658,118.111602,0.727220254,118.111602,2.06143634,-137.8783695,131.4118933,269.2902628,4.70000173,269.2902628
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w11,108.3333333,229.2,22.34579379,39.13436597,121.8410711,1.345336693,121.8410711,2.126527855,8.56914188,89.09421334,80.52507146,1.405427627,80.52507146
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w12,162.5,233.3,62.28233297,77.22448381,103.437264,1.56921941,103.437264,1.805320825,-19.26526431,84.28940686,103.5546712,1.807369968,103.5546712
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,w13,408.3333333,383.3,49.35519932,61.98585968,69.78440873,3.129914453,69.78440873,1.217967699,-55.59733515,74.8641645,130.4614996,2.276982716,130.4614996
cy_l_gp_trial1_sch1_stim4,1,4,large,Y,s4,125,300,8.865060631,29.14515397,81.86989765,1.237683518,81.86989765,1.428899272,-31.65403373,69.34108994,100.9951237,1.762697436,100.9951237
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,s1,37.5,0,0,31.46814262,137.3632466,0.728834146,137.3632466,2.397440925,40.97173633,92.42377134,51.45203501,0.898007418,51.45203501
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,s2,83.33333333,12.5,14.26663941,19.78951743,105.8411081,1.252485849,105.8411081,1.84727582,4.951888796,71.48623998,66.53435118,1.161243494,66.53435118
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,s3,100,16.7,32.06615817,17.70081637,80.96251726,0.774001734,80.96251726,1.413062497,-48.58605376,80.61262318,129.1986769,2.254942302,129.1986769
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,s4,120.8333333,45.8,19.63113089,23.86927942,58.3773974,0.831104496,58.3773974,1.018877793,-91.10881213,54.28004569,145.3888578,2.537514265,145.3888578
cy_l_gp_trial1_sch1_stim6,1,6,large,Y,w1,120.8333333,66.7,24.17338412,33.1233226,68.98590368,1.512822293,68.98590368,1.204031157,-31.5250386,48.34774878,79.87278739,1.394043123,79.87278739
